"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"The Chelsea Harbour Hotel","Gran Bretaña","London",51.4756558,-0.1813888,"62","121","39","Family","Family","Family",4,2015-10-03,670,"No","No",1032,"No",0,"United Kingdom ",8.6,7.1,4,326,"Yes"
"Rydges Kensington Hotel","Gran Bretaña","London",51.4956883,-0.1827878,"57","256","37","Deluxe","Solo traveler","Business trip",1,2016-09-17,320,"No","No",1057,"No",6.66667,"United States of America ",8.1,3.3,8,205,"Yes"
"Hilton London Metropole","Gran Bretaña","London",51.5195688,-0.170521,"41","249","70","Other","Couple","Leisure trip",3,2015-11-08,634,"No","No",6977,"No",21.4286,"Norway ",7.5,5.4,3,1485,"Yes"
"Hotel Pulitzer Paris","Francia","Paris",48.8731996,2.3425446,"16","177","176","Other","Couple","Leisure trip",3,2016-12-28,218,"No","No",1521,"Yes",54.5455,"Greece ",8.4,7.5,1,120,"Yes"
"Kingsway Hall Hotel","Gran Bretaña","London",51.5158643,-0.1200625,"70","101","113","Standard","Solo traveler","Solo traveler",3,2016-10-20,287,"No","No",1363,"No",36.8421,"Portugal ",8.5,8.3,4,377,"No"
"art otel Amsterdam","Holanda","Amsterdam",52.377743,4.897057,"93","77","237","Other","Solo traveler","Leisure trip",4,2015-11-02,640,"No","No",3158,"Yes",57.1429,"Austria ",9,9.2,39,482,"No"
"M by Montcalm Shoreditch London Tech City","Gran Bretaña","London",51.5278465,-0.0889473,"53","35","69","Deluxe","Couple","Leisure trip",1,2016-12-18,228,"No","No",4802,"No",23.2558,"United Kingdom ",9.1,5.8,20,1471,"No"
"NH Hesperia Barcelona del Mar","España","Barcelona",41.4014399,2.2100745,"95","112","221","Other","Couple","Leisure trip",3,2016-10-12,295,"No","No",855,"No",25,"Pakistan ",8.2,8.8,7,76,"Yes"
"Eurostars Embassy","Austria","Vienna",48.1964001,16.3958668,"29","104","226","Other","Couple","Leisure trip",1,2015-08-28,706,"No","No",1442,"No",22.5806,"Australia ",8.4,8.8,31,99,"Yes"
"Holiday Inn London Oxford Circus","Gran Bretaña","London",51.516843,-0.1495574,"56","62","93","Other","Group","Leisure trip",4,2016-01-29,552,"No","No",1287,"Yes",79.4872,"Netherlands ",7.5,7.5,22,241,"No"
"Hotel Berna","Italia","Milan",45.4826692,9.2034371,"52","12","5","Other","Couple","Leisure trip",2,2017-06-26,38,"No","No",4017,"Yes",81.8182,"Hong Kong ",9.2,7.9,8,384,"No"
"Park Grand London Hyde Park","Gran Bretaña","London",51.5157316,-0.1802179,"84","266","46","Other","Family","Leisure trip",2,2017-03-21,135,"No","No",1891,"No",18.5185,"United Kingdom ",7.5,7.1,1,441,"Yes"
"Radisson Blu Edwardian Grafton","Gran Bretaña","London",51.5241386,-0.1380807,"61","131","101","Other","Solo traveler","Leisure trip",1,2015-12-15,597,"No","No",2826,"No",25.4545,"United Kingdom ",8.3,4.6,3,713,"Yes"
"Hilton London Olympia","Gran Bretaña","London",51.4967399,-0.2064723,"95","137","230","Business","Group","Business trip",4,2017-05-10,85,"No","No",1786,"No",3.87097,"Spain ",7.4,4.2,1,438,"No"
"Hotel Moonlight","Gran Bretaña","London",51.4940285,-0.1910497,"37","319","12","Other","Family","Leisure trip",3,2017-01-02,213,"No","No",617,"Yes",100,"Switzerland ",9,9.6,14,107,"No"
"The Bloomsbury Hotel","Gran Bretaña","London",51.5171671,-0.1290534,"54","163","103","Other","Family","Leisure trip",2,2017-05-05,90,"No","No",1254,"Yes",66.6667,"United Kingdom ",9,9.6,4,300,"Yes"
"Rydges Kensington Hotel","Gran Bretaña","London",51.4956883,-0.1827878,"57","256","37","Other","Group","Leisure trip",3,2016-08-30,338,"No","No",1057,"No",27.6923,"United States of America ",8.1,3.8,13,205,"Yes"
"Pullman Paris Tour Eiffel","Francia","Paris",48.8555664,2.2926243,"116","17","73","Deluxe","Couple","Leisure trip",2,2016-08-06,362,"No","No",2764,"No",23.8095,"Australia ",8.6,9.2,4,428,"Yes"
"De Vere Devonport House","Gran Bretaña","London",51.480672,-0.0071375,"95","80","185","Other","Couple","Leisure trip",3,2016-05-24,436,"No","No",1827,"Yes",60,"United Kingdom ",8.2,7.9,12,484,"Yes"
"Crowne Plaza London Kings Cross","Gran Bretaña","London",51.5263854,-0.1136042,"106","47","118","Other","Group","Leisure trip",1,2016-09-05,332,"No","No",2312,"No",44.4444,"United Kingdom ",8.1,9.2,36,628,"No"
"Holiday Inn London Wembley","Gran Bretaña","London",51.5590955,-0.284704,"62","181","145","Other","Group","Leisure trip",1,2017-02-17,167,"No","No",3469,"No",32.5581,"Netherlands ",8.3,8.3,4,1005,"No"
"ME London by Melia","Gran Bretaña","London",51.511879,-0.118552,"77","96","115","Other","Couple","Leisure trip",3,2016-03-22,499,"No","No",1017,"No",50,"Netherlands ",9.2,10,10,345,"No"
"Park Plaza Westminster Bridge London","Gran Bretaña","London",51.5009609,-0.1165913,"31","41","115","Other","Solo traveler","Business trip",1,2015-09-15,688,"No","No",12158,"No",0,"Netherlands ",8.7,7.1,2,2623,"No"
"AC Hotel Barcelona Forum a Marriott Lifestyle Hotel","España","Barcelona",41.4101306,2.2188047,"84","30","195","Other","Solo traveler","Business trip",1,2015-11-26,616,"No","No",1560,"Yes",70.3704,"Czech Republic ",8.1,7.5,32,160,"No"
"Hilton Vienna","Austria","Vienna",48.2062268,16.3833767,"32","24","238","Standard","Group","Business trip",2,2016-03-23,498,"No","No",3078,"No",50,"Kosovo ",8,7.5,2,374,"No"
"Best Western The Boltons Hotel London Kensington","Gran Bretaña","London",51.4907493,-0.1934627,"42","286","9","Other","Solo traveler","Business trip",8,2017-01-02,213,"No","No",1573,"Yes",100,"India ",7.7,10,1,249,"Yes"
"Hilton London Olympia","Gran Bretaña","London",51.4967399,-0.2064723,"95","137","230","Other","Couple","Leisure trip",1,2015-12-06,606,"No","No",1786,"Yes",100,"Ireland ",7.4,7.5,1,438,"Yes"
"Park Hotel","Holanda","Amsterdam",52.3613814,4.8832594,"56","82","235","Deluxe","Group","Leisure trip",3,2015-12-10,602,"No","No",2027,"Yes",100,"United Kingdom ",8.3,9.6,1,297,"No"
"Shaftesbury Hyde Park International","Gran Bretaña","London",51.5123968,-0.186124,"56","325","24","Other","Couple","Leisure trip",1,2017-06-01,63,"No","No",2907,"No",30,"Canada ",8,9.6,1,545,"Yes"
"Mercure Amsterdam Sloterdijk Station","Holanda","Amsterdam",52.3872884,4.8349748,"51","220","174","Standard","Group","Leisure trip",1,2015-11-24,618,"No","No",3643,"No",25,"Belgium ",8.6,9.6,13,498,"No"
"The Tower A Guoman Hotel","Gran Bretaña","London",51.5064721,-0.0716893,"20","12","20","Other","Couple","Leisure trip",2,2016-11-09,267,"No","No",3486,"No",13.3333,"United Kingdom ",8.6,5.4,1,950,"Yes"
"Best Western Plus Hotel Galles","Italia","Milan",45.4805847,9.2117326,"77","17","239","Other","Group","Leisure trip",2,2017-06-29,35,"No","No",3550,"No",8.77193,"Oman ",8.5,5,3,298,"Yes"
"Pullman Paris Tour Eiffel","Francia","Paris",48.8555664,2.2926243,"116","17","73","Deluxe","Family","Leisure trip",5,2017-06-10,54,"No","No",2764,"No",36.1702,"Macedonia ",8.6,8.8,3,428,"Yes"
"Hotel V Nesplein","Holanda","Amsterdam",52.3711037,4.8936787,"83","111","237","Other","Couple","Leisure trip",7,2016-01-10,571,"No","No",1650,"Yes",100,"Israel ",9.1,9.2,4,293,"No"
"Radisson Blu Edwardian Vanderbilt","Gran Bretaña","London",51.4953691,-0.1818966,"49","244","39","Standard","Family","Leisure trip",1,2016-09-27,310,"No","No",2665,"Yes",63.3333,"United Kingdom ",8.2,7.9,1,514,"No"
"Malmaison London","Gran Bretaña","London",51.520943,-0.1004581,"37","41","105","Standard","Couple","Business trip",2,2016-01-19,562,"No","No",1374,"Yes",100,"United Kingdom ",8.7,9.6,7,431,"No"
"Club Quarters Hotel Trafalgar Square","Gran Bretaña","London",51.506935,-0.126012,"63","132","106","Other","Couple","Leisure trip",2,2016-01-28,553,"No","No",2494,"Yes",100,"United Kingdom ",8.5,8.8,9,602,"Yes"
"Occidental Atenea Mar Adults Only","España","Barcelona",41.4023621,2.2119049,"51","93","216","Other","Couple","Leisure trip",4,2017-05-21,74,"No","No",2500,"No",14.7239,"Australia ",8.2,8.8,22,241,"Yes"
"Fielding Hotel","Gran Bretaña","London",51.5139315,-0.1219893,"85","111","110","Other","Solo traveler","Solo traveler",1,2016-04-21,469,"No","No",1271,"No",50,"Belgium ",8.7,9.5,30,294,"No"
"Hotel Front Maritim","España","Barcelona",41.4037972,2.213767,"62","63","210","Other","Couple","Leisure trip",3,2016-05-05,455,"No","No",747,"No",14.7541,"United Kingdom ",7.5,2.9,1,81,"Yes"
"K West Hotel Spa","Gran Bretaña","London",51.5013149,-0.2174459,"51","217","220","Other","Couple","Leisure trip",2,2016-05-31,429,"No","No",1560,"No",0,"United Kingdom ",8.4,8.3,1,509,"Yes"
"Ohla Eixample","España","Barcelona",41.3944574,2.1564353,"59","111","39","Other","Family","Family",6,2016-11-07,269,"No","No",978,"No",17.6471,"Russia ",9.1,5.8,18,133,"Yes"
"Starhotels Anderson","Italia","Milan",45.4852549,9.2069501,"95","17","2","Other","Couple","Leisure trip",1,2016-11-01,275,"No","No",2698,"Yes",76.9231,"Philippines ",8.7,7.9,8,264,"Yes"
"Hotel V Fizeaustraat","Holanda","Amsterdam",52.3451511,4.9252372,"36","103","220","Other","Couple","Business trip",1,2016-12-13,233,"No","No",1708,"Yes",100,"Cura ao ",9.1,10,7,188,"No"
"Millennium Hotel London Knightsbridge","Gran Bretaña","London",51.4999683,-0.1599927,"58","310","88","Standard","Couple","Leisure trip",4,2017-05-09,86,"No","No",2746,"No",0,"Lebanon ",7.5,4.2,5,759,"No"
"Norfolk Towers Paddington","Gran Bretaña","London",51.5162883,-0.1721078,"76","216","66","Other","Group","Leisure trip",1,2016-12-07,239,"No","No",4065,"No",30.4348,"United Kingdom ",7.9,10,1,634,"No"
"The Park Grand London Paddington","Gran Bretaña","London",51.5142184,-0.1809032,"25","275","43","Other","Couple","Leisure trip",1,2016-03-07,514,"No","No",4380,"No",42.8571,"United Kingdom ",7.7,9.2,1,1058,"Yes"
"Hotel Palace GL","España","Barcelona",41.3916258,2.1716378,"39","132","39","Deluxe","Family","Leisure trip",4,2017-04-20,105,"No","No",1266,"Yes",100,"United States of America ",9.4,10,11,195,"No"
"Barcel Sants","España","Barcelona",41.3798964,2.1412433,"29","12","29","Other","Couple","Leisure trip",1,2017-07-17,17,"No","No",4379,"Yes",100,"United States of America ",8.6,7.5,5,420,"Yes"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Couple","Leisure trip",1,2017-01-04,211,"No","No",4248,"Yes",70.8333,"Netherlands ",8.1,8.8,37,353,"No"
"Le Meridien Piccadilly","Gran Bretaña","London",51.5094835,-0.1362538,"112","152","101","Classic","Couple","Couple",1,2016-09-15,322,"No","No",817,"No",47.619,"United Kingdom ",7.6,10,2,146,"Yes"
"De Vere Devonport House","Gran Bretaña","London",51.480672,-0.0071375,"95","80","185","Other","Couple","Leisure trip",1,2015-11-01,641,"No","No",1827,"Yes",52.6316,"United Kingdom ",8.2,8,6,484,"Yes"
"IH Hotels Milano Lorenteggio","Italia","Milan",45.4436132,9.1161094,"51","209","96","Family","Group","Leisure trip",1,2016-05-09,451,"No","No",2181,"Yes",75.9259,"Romania ",7,8.3,5,99,"No"
"Mercure Josefshof Wien","Austria","Vienna",48.2085627,16.3541687,"78","62","4","Classic","Couple","Leisure trip",4,2016-07-26,373,"No","No",2526,"Yes",100,"Russia ",8.3,9.2,44,227,"No"
"Mercure Paris Montmartre Sacr Coeur","Francia","Paris",48.8852794,2.3301021,"50","82","170","Deluxe","Couple","Leisure trip",7,2015-08-18,716,"No","No",1652,"No",23.8095,"Zambia ",8.4,8.8,3,159,"Yes"
"Hotel de France Wien","Austria","Vienna",48.2146623,16.3627994,"39","50","5","Other","Couple","Leisure trip",3,2015-12-22,590,"No","No",5177,"No",0,"Bulgaria ",8.5,10,8,416,"Yes"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Solo traveler","Business trip",1,2015-12-27,585,"No","No",6539,"No",3.1746,"United States of America ",7.7,5.8,3,1274,"No"
"Armani Hotel Milano","Italia","Milan",45.470532,9.19302,"52","50","10","Other","Couple","Leisure trip",4,2015-08-09,725,"No","No",835,"No",42.4242,"Qatar ",9.2,7.1,1,153,"No"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Couple","Leisure trip",1,2016-05-15,445,"No","No",6539,"No",0,"Saudi Arabia ",7.7,5.8,2,1274,"Yes"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Standard","Couple","Leisure trip",1,2016-01-15,566,"No","No",9086,"Yes",100,"United Kingdom ",7.1,8.8,5,2682,"Yes"
"Relais H tel du Vieux Paris","Francia","Paris",48.8538608,2.3429487,"86","152","176","Deluxe","Solo traveler","Leisure trip",2,2016-04-20,470,"No","No",464,"No",0,"United States of America ",8.9,5,1,49,"No"
"Hilton London Metropole","Gran Bretaña","London",51.5195688,-0.170521,"41","249","70","Deluxe","Group","Leisure trip",1,2016-05-11,449,"No","No",6977,"No",6.34921,"United Kingdom ",7.5,5,12,1485,"No"
"NH Hesperia Barcelona Presidente","España","Barcelona",41.3941338,2.1489569,"64","73","36","Other","Group","Leisure trip",3,2016-08-18,350,"No","No",847,"No",28.5714,"Norway ",8.6,3.3,9,54,"Yes"
"Kingsway Hall Hotel","Gran Bretaña","London",51.5158643,-0.1200625,"70","101","113","Other","Couple","Leisure trip",1,2016-03-29,492,"No","No",1363,"No",28.5714,"United Kingdom ",8.5,7.1,1,377,"Yes"
"Park Grand London Kensington","Gran Bretaña","London",51.4938468,-0.1917582,"41","312","10","Other","Couple","Leisure trip",4,2016-01-17,564,"No","No",4660,"Yes",100,"Bahrain ",8.4,9.2,31,989,"Yes"
"Comfort Inn Suites Kings Cross St Pancras","Gran Bretaña","London",51.5289499,-0.1232979,"49","47","109","Deluxe","Couple","Leisure trip",1,2016-09-26,311,"No","No",1116,"Yes",100,"United States of America ",8.1,9.6,1,219,"Yes"
"ADI Doria Grand Hotel","Italia","Milan",45.4853717,9.2115837,"84","17","239","Other","Solo traveler","Business trip",1,2016-09-19,318,"No","No",896,"Yes",100,"",8.3,10,1,69,"No"
"Park Lane Mews Hotel","Gran Bretaña","London",51.5059334,-0.1489418,"3","73","95","Other","Couple","Leisure trip",2,2016-10-12,295,"No","No",2061,"No",48.1481,"United Kingdom ",7,6.3,7,444,"No"
"Millennium Copthorne Hotels at Chelsea Football Club","Gran Bretaña","London",51.481663,-0.1909565,"73","219","15","Standard","Solo traveler","Leisure trip",2,2016-08-29,339,"No","No",1842,"No",25.3968,"United Kingdom ",8.2,6.3,36,525,"No"
"Park Plaza Victoria Amsterdam","Holanda","Amsterdam",52.377278,4.897818,"53","73","237","Other","Solo traveler","Business trip",5,2016-05-24,436,"No","No",4820,"Yes",100,"Norway ",8,10,8,973,"Yes"
"Novotel Paris Centre Bercy","Francia","Paris",48.8384558,2.3805885,"11","12","112","Deluxe","Family","Leisure trip",4,2017-08-01,2,"No","No",1330,"No",42.3077,"United Kingdom ",8.3,6.3,2,93,"Yes"
"Grange Holborn Hotel","Gran Bretaña","London",51.519616,-0.1218432,"71","106","111","Other","Family","Leisure trip",1,2017-05-30,65,"No","No",845,"No",0,"United Kingdom ",8.4,10,1,224,"Yes"
"Park Plaza Victoria Amsterdam","Holanda","Amsterdam",52.377278,4.897818,"53","73","237","Other","Couple","Leisure trip",2,2016-05-12,448,"No","No",4820,"Yes",100,"United Kingdom ",8,8.8,1,973,"Yes"
"Catalonia Rigoletto","España","Barcelona",41.385817,2.1256789,"73","155","232","Other","Couple","Business trip",2,2017-07-08,26,"No","No",1562,"Yes",52.1739,"Italy ",8.6,9.2,64,147,"No"
"Swiss tel Amsterdam","Holanda","Amsterdam",52.3735266,4.8933041,"110","106","237","Classic","Couple","Leisure trip",4,2016-07-26,373,"No","No",2756,"No",48.3871,"United Kingdom ",8.5,8.8,1,451,"Yes"
"HCC St Moritz","España","Barcelona",41.3908486,2.1680745,"61","136","41","Other","Family","Leisure trip",5,2016-12-19,227,"No","No",549,"No",37.5,"United States of America ",8.3,9.6,1,36,"No"
"Austria Trend Hotel Savoyen Vienna","Austria","Vienna",48.1950444,16.3844751,"36","206","236","Deluxe","Couple","Leisure trip",3,2017-05-12,83,"No","No",4016,"Yes",100,"Netherlands ",8.9,10,2,370,"No"
"Arthotel ANA Prime","Austria","Vienna",48.1925582,16.3576071,"32","50","4","Standard","Family","Leisure trip",2,2017-01-10,205,"No","No",1813,"No",22.2222,"Romania ",8.4,8.3,7,144,"Yes"
"Hotel Da Vinci","Italia","Milan",45.5331372,9.1711019,"1","130","192","Other","Couple","Leisure trip",2,2017-01-17,198,"No","No",16670,"No",7.14286,"Iran ",8.1,3.8,6,904,"Yes"
"Arbor Hyde Park","Gran Bretaña","London",51.5126488,-0.1803795,"31","291","44","Other","Solo traveler","Leisure trip",2,2016-01-16,565,"No","No",2140,"No",28.5714,"Singapore ",8.4,6.3,5,322,"Yes"
"Mercure Paris Terminus Nord","Francia","Paris",48.8794843,2.3556545,"57","67","158","Standard","Solo traveler","Leisure trip",2,2017-05-03,92,"No","No",5575,"Yes",100,"Netherlands ",7.4,8.3,6,740,"No"
"Expo Hotel Barcelona","España","Barcelona",41.3792053,2.1427989,"25","12","30","Other","Family","Leisure trip",3,2016-08-09,359,"No","No",4646,"No",50,"United Kingdom ",7.6,7.5,3,390,"Yes"
"DoubleTree By Hilton London Excel","Gran Bretaña","London",51.507377,0.038657,"51","167","116","Other","Couple","Leisure trip",2,2017-06-12,52,"No","No",2726,"Yes",85.1852,"United Kingdom ",8.4,8.8,3,853,"Yes"
"Egerton House","Gran Bretaña","London",51.4968406,-0.1675498,"25","275","82","Other","Group","Leisure trip",3,2016-08-21,347,"No","No",199,"Yes",100,"United States of America ",9.3,10,2,43,"Yes"
"NH Amsterdam Noord","Holanda","Amsterdam",52.3923684,4.9110442,"84","21","229","Other","Couple","Leisure trip",1,2017-05-28,67,"No","No",734,"Yes",68.8889,"United States of America ",8.2,7.1,1,83,"Yes"
"Corendon Vitality Hotel Amsterdam","Holanda","Amsterdam",52.3466449,4.8310984,"73","182","135","Other","Couple","Leisure trip",2,2016-05-23,437,"No","No",4410,"No",8.47458,"United Kingdom ",8.4,9.2,1,555,"Yes"
"Hotel V Fizeaustraat","Holanda","Amsterdam",52.3451511,4.9252372,"36","103","220","Other","Solo traveler","Business trip",2,2016-11-22,254,"No","No",1708,"Yes",100,"Australia ",9.1,10,5,188,"Yes"
"The Premier Notting Hill","Gran Bretaña","London",51.5127453,-0.1926437,"29","5","8","Other","Couple","Leisure trip",5,2017-05-22,73,"No","No",2215,"No",10.2564,"Isle of Man ",7.3,6.3,1,371,"Yes"
"DoubleTree by Hilton Amsterdam Centraal Station","Holanda","Amsterdam",52.376752,4.904618,"106","24","234","Deluxe","Couple","Leisure trip",3,2017-07-26,8,"No","No",3911,"Yes",68.4211,"United Kingdom ",8.4,8.8,1,803,"No"
"Hotel Duminy Vendome","Francia","Paris",48.8654726,2.3292934,"78","120","172","Other","Solo traveler","Leisure trip",3,2017-05-20,75,"No","No",769,"Yes",77.7778,"United States of America ",8.2,9.6,2,76,"Yes"
"Schlosshotel R mischer Kaiser","Austria","Vienna",48.2040859,16.3725046,"78","82","3","Other","Couple","Leisure trip",5,2016-02-18,532,"No","No",1350,"Yes",57.1429,"Romania ",8.9,8.8,14,135,"Yes"
"The Royal Horseguards","Gran Bretaña","London",51.5054185,-0.1241499,"116","120","109","Other","Family","Leisure trip",1,2016-08-13,355,"No","No",2007,"Yes",57.8947,"United States of America ",8.9,9.2,13,475,"Yes"
"Bentley London","Gran Bretaña","London",51.4928147,-0.1841753,"62","279","33","Other","Couple","Leisure trip",6,2016-02-17,533,"Yes","Yes",486,"Yes",66.6667,"United Arab Emirates ",8.4,8.8,5,143,"Yes"
"Catalonia Atenas","España","Barcelona",41.4110056,2.1866009,"84","203","29","Other","Couple","Leisure trip",2,2017-04-27,98,"No","No",6792,"No",9.375,"United Kingdom ",7.9,5.4,2,541,"Yes"
"Ayre Hotel Rosell n","España","Barcelona",41.4047382,2.1727127,"52","24","39","Other","Couple","Leisure trip",6,2015-08-20,714,"No","No",2359,"No",15.873,"United Kingdom ",8.7,3.8,1,215,"No"
"Best Western Hotel Montmartre Sacr Coeur","Francia","Paris",48.888539,2.3498459,"25","47","161","Other","Couple","Leisure trip",2,2017-04-24,101,"No","No",1201,"Yes",100,"United States of America ",7.2,7.9,14,116,"No"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Standard","Family","Leisure trip",2,2016-04-30,460,"No","No",5945,"No",34.6154,"United Kingdom ",7.8,9.2,1,1172,"Yes"
"Holiday Inn London Kensington Forum","Gran Bretaña","London",51.4942305,-0.1851141,"84","278","29","Other","Solo traveler","Leisure trip",3,2016-02-20,530,"No","No",3867,"No",40.7407,"Qatar ",7.8,7.9,11,854,"Yes"
"Andaz London Liverpool Street","Gran Bretaña","London",51.5172825,-0.0812451,"56","73","45","Other","Couple","Leisure trip",2,2016-12-23,223,"No","No",1283,"Yes",100,"United Kingdom ",9,10,2,346,"Yes"
"Ambassadors Bloomsbury","Gran Bretaña","London",51.5266618,-0.1296571,"38","106","104","Other","Solo traveler","Business trip",1,2015-12-12,600,"No","No",1521,"No",50,"United Kingdom ",7.9,10,1,398,"Yes"
