"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
105,317908,"II - Cagayan Valley",71747,"Enterpreneurial Activities","1",13800,270,2150,31152,18000,27428,13562,171758,173258,"Male",43,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,2,0,"Single house",96,12,3,1,0,2,1
106,137860,"IVB - MIMAROPA",73635,"Wage/Salaries","1",11700,1104,2245,15444,9000,16970,8614,0,0,"Male",37,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",8,0,6,2,"Single house",25,16,1,1,0,1,0
107,170057,"VII - Central Visayas",114304,"Other sources of Income","0",14550,0,12605,28470,21000,12866,24674,0,0,"Female",38,"Divorced/Separated","High School Studies","No Job/Business","No Occupation","Unemployed",6,0,5,1,"Single house",40,32,3,1,0,2,0
108,224546,"VI - Western Visayas",95036,"Wage/Salaries","0",22310,390,4518,36198,21000,12258,13962,0,0,"Male",37,"Single","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,2,"Single house",80,45,2,1,0,2,0
109,119705,"VI - Western Visayas",57983,"Enterpreneurial Activities","1",1350,10815,1717,19800,6000,5295,7102,0,73860,"Female",70,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",50,4,2,1,0,1,0
110,71088,"VI - Western Visayas",39734,"Other sources of Income","1",1300,0,2105,10422,4800,15026,4530,26295,30845,"Female",58,"Widowed","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,1,"Single house",20,15,0,1,0,1,0
111,35061,"XI - Davao Region",17471,"Other sources of Income","0",0,72,150,10458,7800,600,1572,13933,13933,"Female",72,"Widowed","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",25,44,2,1,0,0,0
112,784342,"III - Central Luzon",233440,"Enterpreneurial Activities","2",35750,0,23470,101310,75000,74714,54740,0,345000,"Male",39,"Married","Program Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",5,0,2,1,"Single house",180,4,6,1,1,4,0
113,76103,"IVA - CALABARZON",43402,"Other sources of Income","0",35324,0,1240,26610,24000,937,1086,0,0,"Male",76,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",65,24,1,1,0,0,0
114,305230,"VI - Western Visayas",193428,"Wage/Salaries","0",70830,0,20300,35856,18000,43926,19836,360,13560,"Male",39,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,1,0,1,"Single house",80,10,2,1,0,3,1
115,69570,"Caraga",44014,"Enterpreneurial Activities","0",3840,2730,2185,6810,1800,1456,3490,0,27750,"Male",56,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",8,0,5,1,"Single house",120,8,2,0,0,1,0
116,311500,"NCR",172071,"Other sources of Income","2",43630,2012,3040,44820,0,81423,19827,0,0,"Male",44,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,2,1,"Single house",25,43,0,1,0,3,0
117,88081,"V - Bicol Region",54232,"Enterpreneurial Activities","0",440,0,1370,15198,3600,9255,1896,0,60476,"Male",62,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",7,26,1,1,0,1,0
118,323073,"II - Cagayan Valley",91983,"Wage/Salaries","0",12090,988,3260,25950,10200,7066,20000,2263,2263,"Male",54,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,0,4,"Single house",80,20,3,1,0,1,0
119,150367,"XII - SOCCSKSARGEN",59417,"Enterpreneurial Activities","0",1860,0,4800,11580,4800,29374,6282,30950,118752,"Male",42,"Married","No Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",4,1,1,0,"Single house",11,9,2,1,0,1,1
120,284183,"III - Central Luzon",83425,"Other sources of Income","0",1800,0,7400,180804,150000,20692,14646,0,0,"Female",53,"Single","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",120,13,3,1,0,1,0
121,252309,"II - Cagayan Valley",60116,"Other sources of Income","0",0,228,5490,34392,16800,36492,11090,110095,110095,"Male",63,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,0,0,"Single house",300,21,2,1,1,3,1
122,82804,"XI - Davao Region",49602,"Enterpreneurial Activities","2",7890,0,1475,15570,8400,6103,6886,0,56800,"Male",29,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",33,0,1,1,0,1,1
123,368704,"IVA - CALABARZON",114791,"Other sources of Income","0",22095,12603,8630,81012,0,68460,15432,0,0,"Male",64,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",4,0,1,1,"Single house",30,5,2,1,0,3,1
124,391650,"IVA - CALABARZON",136793,"Wage/Salaries","0",55440,6335,3515,41844,13200,55566,33858,0,0,"Male",60,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,3,"Single house",80,40,2,1,0,3,2
125,76569,"I - Ilocos Region",45907,"Wage/Salaries","0",15600,9590,2590,8676,3600,951,3750,0,0,"Male",65,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private household",1,0,0,1,"Single house",24,40,1,1,0,0,0
126,289362,"IX - Zasmboanga Peninsula",51959,"Wage/Salaries","0",1640,2340,15500,45420,36000,9641,24242,0,34800,"Male",60,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",2,0,0,1,"Single house",18,6,1,1,0,1,0
127,312350,"NCR",165837,"Wage/Salaries","2",35690,990,7740,57720,36000,36638,21578,0,0,"Male",46,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,3,1,"Single house",40,27,3,1,0,4,0
128,316852,"NCR",128347,"Wage/Salaries","2",29900,6628,3475,111054,66000,66578,14764,0,0,"Male",48,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,1,"Single house",48,35,2,1,0,4,0
129,119703,"IVA - CALABARZON",71834,"Wage/Salaries","0",5860,4891,2735,20598,0,3552,7176,0,0,"Male",35,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",3,1,0,1,"Single house",25,9,1,1,0,1,0
130,244410,"VI - Western Visayas",101268,"Enterpreneurial Activities","1",2514,0,1070,22902,6000,13580,21052,0,163802,"Male",56,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",9,2,2,0,"Single house",19,17,2,1,0,2,0
131,33422,"X - Northern Mindanao",21838,"Other sources of Income","0",7800,33,1740,4524,3000,2132,858,11987,11987,"Male",75,"Widowed","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",1,0,0,0,"Single house",36,19,2,1,0,0,0
132,284465,"II - Cagayan Valley",127438,"Enterpreneurial Activities","1",5150,4706,2530,31920,19800,14310,30604,131560,135060,"Male",34,"Married","Program Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",5,1,1,1,"Single house",96,26,2,1,0,1,0
133,135350,"II - Cagayan Valley",41483,"Other sources of Income","0",3345,0,4050,38010,18000,28598,4398,21240,21240,"Male",70,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,0,"Single house",72,10,3,1,0,1,0
134,264398,"IVA - CALABARZON",112373,"Wage/Salaries","0",13940,2539,4850,53460,39000,33976,17323,0,0,"Male",55,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,0,4,"Single house",40,25,1,1,0,3,0
135,123615,"VI - Western Visayas",67816,"Wage/Salaries","0",10860,1448,0,27318,18000,5924,5664,0,14160,"Male",56,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,0,1,2,"Single house",58,20,1,1,0,4,0
136,192159,"XI - Davao Region",38003,"Other sources of Income","0",520,930,100,18618,4200,15194,13036,30135,49931,"Male",67,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",50,3,2,1,0,2,0
137,66130,"IVA - CALABARZON",22479,"Wage/Salaries","0",16920,0,1350,20826,18000,2018,15860,0,0,"Female",59,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",100,25,2,1,0,0,0
138,95850," ARMM",60978,"Enterpreneurial Activities","1",3000,1560,664,14670,6000,3732,5202,78720,78720,"Male",40,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,3,0,"Single house",45,15,1,0,0,1,0
139,237468,"IVA - CALABARZON",133459,"Other sources of Income","0",32700,4865,6720,34980,0,19878,14714,0,57368,"Female",29,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,2,0,"Single house",40,28,1,1,0,4,0
140,199656,"VI - Western Visayas",79448,"Wage/Salaries","0",11700,0,2370,36204,24000,19029,8076,0,0,"Male",54,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",4,0,1,2,"Single house",50,24,2,1,0,3,2
141,575755,"IVB - MIMAROPA",86891,"Wage/Salaries","0",5990,0,4570,37920,12000,25842,51096,0,0,"Male",41,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,2,"Single house",84,15,3,1,1,2,1
142,182648,"IVA - CALABARZON",76778,"Wage/Salaries","0",18720,4163,3250,53976,36000,5508,7524,0,0,"Male",65,"Divorced/Separated","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,0,2,"Single house",60,55,3,1,0,2,0
143,78900,"IVA - CALABARZON",39387,"Other sources of Income","0",8010,360,660,14040,7800,28442,2424,0,0,"Male",60,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,1,"Single house",15,7,0,1,0,1,0
144,106770,"I - Ilocos Region",61012,"Wage/Salaries","0",7390,0,2095,17664,10800,6082,7932,0,0,"Male",30,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,2,2,1,"Single house",25,24,1,1,0,1,0
145,237992,"CAR",77637,"Other sources of Income","0",46100,0,6470,9600,4800,31302,4720,8230,66362,"Female",53,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",7,0,1,0,"Single house",15,11,0,1,0,3,0
146,86913,"I - Ilocos Region",43992,"Enterpreneurial Activities","0",6990,3640,2010,13056,6000,2965,11494,0,80698,"Male",56,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",25,25,2,1,0,0,0
147,220241,"NCR",80532,"Wage/Salaries","2",30820,0,5885,45618,36000,25390,15336,0,0,"Female",60,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,1,1,"Multi-unit residential",24,12,0,1,0,2,0
148,136952,"CAR",98493,"Other sources of Income","0",23450,1450,4225,27702,8400,20690,14124,0,10000,"Female",64,"Widowed","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,1,1,"Single house",20,33,1,1,0,3,1
149,135149,"XI - Davao Region",56036,"Wage/Salaries","2",1240,0,1568,39234,18000,13112,13676,0,0,"Male",43,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,2,1,"Single house",32,13,2,1,1,3,2
150,483684,"VII - Central Visayas",115060,"Enterpreneurial Activities","0",21600,12308,0,9384,6000,5916,9660,0,273900,"Male",52,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",12,1,4,2,"Single house",40,24,0,0,0,2,0
151,41948,"VI - Western Visayas",29282,"Other sources of Income","0",1290,260,1135,6906,3600,1375,1512,13235,13235,"Male",74,"Married","No Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",13,26,0,1,0,0,0
152,101290,"CAR",77440,"Other sources of Income","0",7200,1710,2740,14172,9000,25376,7146,23140,23140,"Male",54,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",40,65,1,1,0,1,0
153,404075,"IVA - CALABARZON",134971,"Wage/Salaries","0",12160,0,14331,90588,54000,60791,28956,0,0,"Male",70,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",6,1,1,1,"Single house",50,47,3,1,0,1,1
154,615932,"II - Cagayan Valley",122814,"Wage/Salaries","0",16360,8060,4540,71118,54000,15942,52868,151486,151486,"Female",73,"Widowed","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",5,0,1,2,"Single house",120,8,3,1,0,3,0
155,124138,"VIII - Eastern Visayas",69014,"Other sources of Income","0",5500,1903,2445,28422,7200,37532,8922,0,56278,"Male",54,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,3,0,"Single house",40,1,2,1,0,3,0
156,260372,"VI - Western Visayas",96481,"Other sources of Income","0",18900,0,6750,61608,24000,112658,7770,11220,96472,"Male",80,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",8,0,1,0,"Single house",42,24,3,1,0,3,1
157,375261,"I - Ilocos Region",86423,"Wage/Salaries","0",28220,2240,14795,42870,30000,68785,25316,78835,78835,"Male",46,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,4,"Single house",66,10,2,1,0,2,2
158,501670,"IX - Zasmboanga Peninsula",153738,"Enterpreneurial Activities","1",103200,5140,5140,46698,24000,91888,79454,84430,333380,"Male",38,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",4,0,2,2,"Single house",48,12,2,1,3,4,3
159,75697,"X - Northern Mindanao",45161,"Other sources of Income","0",19455,2080,1870,18888,4800,1638,6064,0,0,"Female",87,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",38,67,1,1,0,0,0
160,79010,"IVB - MIMAROPA",40795,"Wage/Salaries","1",3050,960,985,14160,0,1048,9716,0,0,"Male",23,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,0,1,"Single house",14,29,2,1,0,0,0
161,287119,"III - Central Luzon",150041,"Wage/Salaries","0",28553,0,3765,30780,16200,13845,32618,0,0,"Female",40,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",9,1,2,1,"Multi-unit residential",30,45,1,1,0,3,0
162,439128,"XII - SOCCSKSARGEN",130450,"Other sources of Income","0",3350,7603,12998,68502,39000,129440,27664,13028,13028,"Male",60,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,0,1,"Single house",54,20,3,1,0,3,1
163,1410240,"VIII - Eastern Visayas",132462,"Other sources of Income","0",8400,2195,950,274344,150000,27636,6342,0,0,"Male",60,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",300,12,2,1,0,3,0
164,103780," ARMM",73572,"Enterpreneurial Activities","1",6000,910,3975,11700,5400,6603,3150,80930,80930,"Male",40,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",10,0,7,0,"Single house",96,20,2,0,0,1,0
165,1480200,"NCR",65596,"Other sources of Income","2",11600,0,1100,218460,180000,56078,52754,0,0,"Female",66,"Single","Program Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",58,23,2,1,0,0,0
166,164027,"VIII - Eastern Visayas",69109,"Enterpreneurial Activities","0",14000,1805,1758,19542,6000,9300,16822,24098,130558,"Male",49,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",9,1,3,1,"Single house",32,12,2,1,0,0,0
167,84340," ARMM",54099,"Enterpreneurial Activities","1",4740,1040,1048,6846,4200,1316,3048,60540,60540,"Male",55,"Divorced/Separated","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",40,33,1,0,0,0,0
168,417490,"IVA - CALABARZON",129751,"Wage/Salaries","0",25220,0,18200,104352,75000,54427,32408,0,0,"Male",46,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,0,1,"Single house",120,30,2,1,0,2,0
169,386046,"XI - Davao Region",149931,"Wage/Salaries","0",15382,982,1880,68628,30000,70308,41476,0,0,"Female",74,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",7,0,0,3,"Single house",80,25,3,1,0,7,0
170,118300,"IVA - CALABARZON",75474,"Wage/Salaries","0",26400,6225,3160,13818,0,17812,3030,0,0,"Male",49,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",20,2,0,1,0,2,0
171,191142,"XI - Davao Region",98228,"Wage/Salaries","1",2600,9610,5754,8268,2400,11769,18346,4400,4400,"Male",59,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,1,4,"Single house",20,15,2,0,0,2,2
172,160345,"CAR",57306,"Wage/Salaries","0",9000,780,4590,12570,4200,31968,9736,19661,37661,"Male",52,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",4,0,2,1,"Single house",23,4,0,1,0,3,0
